[2022-04-30:23:46:33]:NetworkName:lo, DistplayName:Software Loopback Interface 1, ADD 
[2022-04-30:23:46:33]:NetworkName:net0, DistplayName:Microsoft 6to4 Adapter, ADD 
[2022-04-30:23:46:33]:NetworkName:eth0, DistplayName:Hyper-V Virtual Switch Extension Adapter #3, ADD 
[2022-04-30:23:46:33]:NetworkName:net1, DistplayName:WAN Miniport (PPTP), ADD 
[2022-04-30:23:46:33]:NetworkName:wlan0, DistplayName:Microsoft Wi-Fi Direct Virtual Adapter #2, ADD 
[2022-04-30:23:46:33]:NetworkName:net2, DistplayName:WAN Miniport (L2TP), ADD 
[2022-04-30:23:46:33]:NetworkName:net3, DistplayName:Microsoft IP-HTTPS Platform Adapter, ADD 
[2022-04-30:23:46:33]:NetworkName:wlan1, DistplayName:Microsoft Wi-Fi Direct Virtual Adapter #5, ADD 
[2022-04-30:23:46:33]:NetworkName:eth1, DistplayName:WAN Miniport (IP), ADD 
[2022-04-30:23:46:33]:NetworkName:eth2, DistplayName:Apple Mobile Device Ethernet, ADD 
[2022-04-30:23:46:33]:NetworkName:net4, DistplayName:WAN Miniport (SSTP), ADD 
[2022-04-30:23:46:33]:NetworkName:wlan2, DistplayName:Intel(R) Dual Band Wireless-AC 8265, ADD 
[2022-04-30:23:46:33]:NetworkName:eth3, DistplayName:WAN Miniport (IPv6), ADD 
[2022-04-30:23:46:33]:NetworkName:eth4, DistplayName:Hyper-V Virtual Switch Extension Adapter #2, ADD 
[2022-04-30:23:46:33]:NetworkName:eth5, DistplayName:WAN Miniport (Network Monitor), ADD 
[2022-04-30:23:46:33]:NetworkName:eth6, DistplayName:WAN Miniport (Network Monitor)-WFP Native MAC Layer LightWeight Filter-0000, ADD 
[2022-04-30:23:46:33]:NetworkName:eth7, DistplayName:Realtek USB FE Family Controller, ADD 
[2022-04-30:23:46:33]:NetworkName:eth8, DistplayName:Hyper-V Virtual Ethernet Adapter #2, ADD 
[2022-04-30:23:46:33]:NetworkName:net5, DistplayName:Microsoft Teredo Tunneling Adapter, ADD 
